adhs_wwhp_clinics,Number of Well Woman Healthcheck Program clinics,,,,,,,,,,,,,,,,,,,,,
adhs_urgentcares,Number of urgent care centers,,,,,,,,,,,,,,,,,,,,,
adhs_traumacenters,Number of trauma centers,,,,,,,,,,,,,,,,,,,,,
adhs_slidingfeescheduleclinics,Number of sliding fee schedule clinics,,,,,,,,,,,,,,,,,,,,,
adhs_residentialfacilities,Number of residential care facilities,,,,,,,,,,,,,,,,,,,,,
adhs_medicalfacilities,Number of general medical facilities,,,,,,,,,,,,,,,,,,,,,
adhs_longtermcarefacilities,Number of long-term care facilities,,,,,,,,,,,,,,,,,,,,,
adhs_licensedfacilities,Number of ADHS-licensed healthcare facilities,,,,,,,,,,,,,,,,,,,,,
adhs_hospital,Number of hospitals,,,,,,,,,,,,,,,,,,,,,
adhs_ems,Number of emergency medical service providers,,,,,,,,,,,,,,,,,,,,,
adhs_ddgrouphomes,Number of developmental disability group homes,,,,,,,,,,,,,,,,,,,,,
adhs_correctionalfacilities,Number of correctional facilities,,,,,,,,,,,,,,,,,,,,,
adhs_childcarefacilities_incl_public_schools,Number of childcare facilities including public schools,,,,,,,,,,,,,,,,,,,,,
total_dosage,Total opioid dosage dispensed (1 dosage = 1 pill),,,,,,,,,,,,,,,,,,,,,
total_mme,Total Morphine Milligram Equivalent (MME) – standard opioid potency measure,,,,,,,,,,,,,,,,,,,,,
id_y,Internal identifier (used for joins or references),,,,,,,,,,,,,,,,,,,,,
geoid_y,GEOID used for spatial or census-based reference,,,,,,,,,,,,,,,,,,,,,
life_expectancy,Estimated average life expectancy in the tract,,,,,,,,,,,,,,,,,,,,,
life_expectancy_se,Standard error of the life expectancy estimate,,,,,,,,,,,,,,,,,,,,,
flag,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
